,COMMUNITY AREA NAME,PER CAPITA INCOME,THERM MEAN 2010,TOTAL POPULATION
280,Rogers Park,23714,6665.63,304.0
281,Rogers Park,23714,5111.64,304.0
282,Rogers Park,23714,2363.67,304.0
283,Rogers Park,23714,2109.71,20.0
284,Rogers Park,23714,70794.0,544.0
285,Rogers Park,23714,4764.88,161.0
286,Rogers Park,23714,1795.2,161.0
287,Rogers Park,23714,22845.5,249.0
288,Rogers Park,23714,1625.33,249.0
289,Rogers Park,23714,347.0,172.0
290,Rogers Park,23714,26007.0,289.0
291,Rogers Park,23714,10202.14,178.0
292,Rogers Park,23714,5766.0,145.0
293,Rogers Park,23714,5317.56,91.0
294,Rogers Park,23714,5749.83,200.0
295,Rogers Park,23714,3310.85,218.0
296,Rogers Park,23714,2660.0,218.0
297,Rogers Park,23714,5150.9,69.0
298,Rogers Park,23714,5337.33,69.0
299,Rogers Park,23714,5546.0,119.0
300,Rogers Park,23714,1932.8,76.0
301,Rogers Park,23714,2623.0,72.0
302,Rogers Park,23714,2250.0,72.0
303,Rogers Park,23714,2477.88,164.0
304,Rogers Park,23714,4096.5,164.0
305,Rogers Park,23714,1499.5,55.0
306,Rogers Park,23714,3829.5,77.0
307,Rogers Park,23714,2552.5,77.0
308,Rogers Park,23714,3762.0,135.0
309,Rogers Park,23714,945.5,169.0
310,Rogers Park,23714,5088.0,241.0
311,Rogers Park,23714,3354.38,84.0
312,Rogers Park,23714,2034.0,84.0
313,Rogers Park,23714,2114.0,62.0
314,Rogers Park,23714,1000.0,53.0
315,Rogers Park,23714,1228.5,53.0
316,Rogers Park,23714,3715.0,140.0
317,Rogers Park,23714,1780.57,140.0
318,Rogers Park,23714,3961.5,60.0
319,Rogers Park,23714,3364.0,135.0
320,Rogers Park,23714,2058.75,149.0
321,Rogers Park,23714,114.0,233.0
322,Rogers Park,23714,4087.6,233.0
323,Rogers Park,23714,73.0,233.0
324,Rogers Park,23714,3645.6,83.0
325,Rogers Park,23714,6158.0,81.0
326,Rogers Park,23714,5521.5,81.0
327,Rogers Park,23714,3038.4,101.0
328,Rogers Park,23714,1445.25,74.0
329,Rogers Park,23714,2319.0,74.0
330,Rogers Park,23714,2907.0,74.0
331,Rogers Park,23714,200.0,148.0
332,Rogers Park,23714,1487.0,148.0
333,Rogers Park,23714,1658.5,148.0
334,Rogers Park,23714,7065.8,392.0
335,Rogers Park,23714,12585.25,227.0
336,Rogers Park,23714,2628.0,149.0
337,Rogers Park,23714,3673.0,149.0
338,Rogers Park,23714,3545.5,138.0
339,Rogers Park,23714,1961.6,96.0
340,Rogers Park,23714,2208.0,96.0
341,Rogers Park,23714,7842.5,204.0
342,Rogers Park,23714,903.4,204.0
343,Rogers Park,23714,3333.0,70.0
344,Rogers Park,23714,1517.0,70.0
345,Rogers Park,23714,1521.5,70.0
346,Rogers Park,23714,3971.3,146.0
347,Rogers Park,23714,1644.33,86.0
348,Rogers Park,23714,1567.25,86.0
349,Rogers Park,23714,3312.67,155.0
350,Rogers Park,23714,2728.71,73.0
351,Rogers Park,23714,3348.5,41.0
352,Rogers Park,23714,3229.0,57.0
353,Rogers Park,23714,4222.0,101.0
354,Rogers Park,23714,2740.07,490.0
355,Rogers Park,23714,2674.33,66.0
356,Rogers Park,23714,2826.57,71.0
357,Rogers Park,23714,2697.36,83.0
358,Rogers Park,23714,2935.41,84.0
359,Rogers Park,23714,3060.54,0.0
360,Rogers Park,23714,5480.67,194.0
361,Rogers Park,23714,2771.47,84.0
362,Rogers Park,23714,1689.0,47.0
363,Rogers Park,23714,3397.64,74.0
364,Rogers Park,23714,3530.14,73.0
365,Rogers Park,23714,124.0,105.0
366,Rogers Park,23714,4417.0,105.0
367,Rogers Park,23714,3283.63,71.0
368,Rogers Park,23714,3164.5,29.0
369,Rogers Park,23714,108.5,215.0
370,Rogers Park,23714,332.0,166.0
371,Rogers Park,23714,1938.33,166.0
372,Rogers Park,23714,4105.5,94.0
373,Rogers Park,23714,3529.0,73.0
374,Rogers Park,23714,2240.5,73.0
375,Rogers Park,23714,7147.5,273.0
376,Rogers Park,23714,4951.0,273.0
377,Rogers Park,23714,11576.0,82.0
378,Rogers Park,23714,3903.0,82.0
379,Rogers Park,23714,6107.0,45.0
380,Rogers Park,23714,532.0,52.0
381,Rogers Park,23714,3850.0,72.0
382,Rogers Park,23714,3323.5,72.0
383,Rogers Park,23714,1412.75,72.0
384,Rogers Park,23714,1569.17,45.0
385,Rogers Park,23714,1479.5,20.0
386,Rogers Park,23714,3134.75,113.0
387,Rogers Park,23714,1677.25,113.0
388,Rogers Park,23714,3655.67,91.0
389,Rogers Park,23714,3196.0,91.0
390,Rogers Park,23714,1517.83,91.0
391,Rogers Park,23714,3844.5,47.0
392,Rogers Park,23714,1988.14,47.0
393,Rogers Park,23714,5677.83,187.0
394,Rogers Park,23714,3357.0,59.0
395,Rogers Park,23714,3422.0,59.0
396,Rogers Park,23714,2465.78,59.0
397,Rogers Park,23714,4088.0,64.0
398,Rogers Park,23714,1620.44,64.0
399,Rogers Park,23714,1627.0,70.0
400,Rogers Park,23714,4789.38,292.0
401,Rogers Park,23714,1881.45,292.0
402,Rogers Park,23714,1659.8,180.0
403,Rogers Park,23714,4459.0,163.0
404,Rogers Park,23714,4439.67,163.0
405,Rogers Park,23714,1111.83,163.0
406,Rogers Park,23714,24164.5,183.0
407,Rogers Park,23714,2001.5,183.0
408,Rogers Park,23714,1928.6,183.0
409,Rogers Park,23714,2785.13,136.0
410,Rogers Park,23714,1627.5,136.0
411,Rogers Park,23714,5003.5,157.0
412,Rogers Park,23714,4195.25,157.0
413,Rogers Park,23714,1215.75,157.0
414,Rogers Park,23714,2513.25,119.0
415,Rogers Park,23714,1949.75,119.0
416,Rogers Park,23714,3971.33,102.0
417,Rogers Park,23714,2793.29,102.0
418,Rogers Park,23714,1478.2,102.0
419,Rogers Park,23714,3904.38,149.0
420,Rogers Park,23714,1869.75,149.0
421,Rogers Park,23714,7158.0,256.0
422,Rogers Park,23714,3152.6,256.0
423,Rogers Park,23714,1906.0,256.0
424,Rogers Park,23714,4807.5,145.0
425,Rogers Park,23714,7703.0,145.0
426,Rogers Park,23714,1984.67,145.0
427,Rogers Park,23714,6721.67,213.0
428,Rogers Park,23714,2932.91,213.0
429,Rogers Park,23714,2656.91,111.0
430,Rogers Park,23714,3088.4,164.0
431,Rogers Park,23714,3330.14,164.0
432,Rogers Park,23714,7299.33,118.0
433,Rogers Park,23714,1968.0,44.0
434,Rogers Park,23714,814.67,231.0
435,Rogers Park,23714,2686.0,231.0
436,Rogers Park,23714,4154.14,101.0
437,Rogers Park,23714,3415.89,130.0
438,Rogers Park,23714,17448.5,199.0
439,Rogers Park,23714,3235.83,199.0
440,Rogers Park,23714,18415.0,145.0
441,Rogers Park,23714,1407.5,90.0
442,Rogers Park,23714,4758.5,343.0
443,Rogers Park,23714,1606.86,64.0
444,Rogers Park,23714,1872.0,343.0
445,Rogers Park,23714,2682.5,47.0
446,Rogers Park,23714,1528.6,47.0
447,Rogers Park,23714,3056.2,196.0
448,Rogers Park,23714,1995.25,196.0
449,Rogers Park,23714,1086.5,43.0
450,Rogers Park,23714,1387.4,43.0
451,Rogers Park,23714,2862.75,188.0
452,Rogers Park,23714,1503.73,188.0
453,Rogers Park,23714,2509.0,41.0
454,Rogers Park,23714,1295.55,41.0
455,Rogers Park,23714,1983.14,63.0
456,Rogers Park,23714,1489.92,63.0
457,Rogers Park,23714,7434.0,237.0
458,Rogers Park,23714,2844.5,237.0
459,Rogers Park,23714,1441.5,237.0
460,Rogers Park,23714,3643.78,115.0
461,Rogers Park,23714,1399.33,115.0
462,Rogers Park,23714,3413.33,94.0
463,Rogers Park,23714,2610.4,237.0
464,Rogers Park,23714,2376.5,59.0
465,Rogers Park,23714,1538.58,59.0
466,Rogers Park,23714,1521.0,45.0
467,Rogers Park,23714,1367.13,45.0
468,Rogers Park,23714,1706.88,44.0
469,Rogers Park,23714,8700.33,243.0
470,Rogers Park,23714,2052.33,243.0
471,Rogers Park,23714,9088.0,109.0
472,Rogers Park,23714,3080.5,109.0
473,Rogers Park,23714,13178.0,257.0
474,Rogers Park,23714,2146.63,257.0
475,Rogers Park,23714,1420.4,257.0
476,Rogers Park,23714,3227.33,148.0
477,Rogers Park,23714,1167.71,148.0
478,Rogers Park,23714,1666.09,230.0
479,Rogers Park,23714,1632.0,148.0
480,Rogers Park,23714,2306.43,124.0
481,Rogers Park,23714,1542.07,124.0
482,Rogers Park,23714,5472.67,125.0
483,Rogers Park,23714,2494.0,125.0
484,Rogers Park,23714,1781.88,125.0
485,Rogers Park,23714,1970.5,123.0
486,Rogers Park,23714,1481.75,123.0
487,Rogers Park,23714,3915.33,148.0
488,Rogers Park,23714,1833.67,148.0
489,Rogers Park,23714,1946.0,36.0
490,Rogers Park,23714,1628.86,36.0
491,Rogers Park,23714,2122.08,237.0
492,Rogers Park,23714,1599.6,46.0
493,Rogers Park,23714,1628.09,46.0
494,Rogers Park,23714,3631.5,54.0
495,Rogers Park,23714,1209.5,54.0
496,Rogers Park,23714,2957.4,88.0
497,Rogers Park,23714,1940.88,22.0
498,Rogers Park,23714,1696.0,22.0
499,Rogers Park,23714,2998.5,41.0
500,Rogers Park,23714,1151.25,41.0
501,Rogers Park,23714,1247.5,68.0
502,Rogers Park,23714,1841.11,103.0
503,Rogers Park,23714,1239.83,176.0
504,Rogers Park,23714,2750.6,176.0
505,Rogers Park,23714,1520.56,176.0
506,Rogers Park,23714,5925.0,132.0
507,Rogers Park,23714,2866.5,248.0
508,Rogers Park,23714,935.0,10.0
509,Rogers Park,23714,817.67,10.0
510,Rogers Park,23714,2666.0,84.0
511,Rogers Park,23714,1193.0,70.0
512,Rogers Park,23714,12573.75,223.0
513,Rogers Park,23714,13413.0,295.0
514,Rogers Park,23714,2967.25,295.0
515,Rogers Park,23714,3462.5,81.0
516,Rogers Park,23714,2074.0,123.0
517,Rogers Park,23714,7553.5,11.0
518,Rogers Park,23714,2871.0,31.0
519,Rogers Park,23714,1833.33,248.0
520,Rogers Park,23714,5595.63,257.0
521,Rogers Park,23714,4507.4,257.0
522,Rogers Park,23714,5602.0,257.0
523,Rogers Park,23714,3810.67,123.0
524,Rogers Park,23714,1269.0,123.0
525,Rogers Park,23714,1966.0,2.0
526,Rogers Park,23714,4889.0,89.0
527,Rogers Park,23714,2104.33,89.0
528,Rogers Park,23714,6881.33,282.0
529,Rogers Park,23714,18349.67,83.0
530,Rogers Park,23714,3048.5,83.0
531,Rogers Park,23714,2800.38,337.0
532,Rogers Park,23714,14986.5,337.0
533,Rogers Park,23714,2523.5,66.0
534,Rogers Park,23714,2503.5,66.0
535,Rogers Park,23714,1178.25,107.0
536,Rogers Park,23714,2263.0,103.0
537,Rogers Park,23714,1759.67,69.0
538,Rogers Park,23714,2376.5,103.0
539,Rogers Park,23714,4820.5,7.0
540,Rogers Park,23714,2659.13,265.0
541,Rogers Park,23714,2299.67,265.0
542,Rogers Park,23714,5929.0,158.0
543,Rogers Park,23714,9342.5,416.0
544,Rogers Park,23714,5415.0,416.0
545,Rogers Park,23714,1240.43,69.0
546,Rogers Park,23714,2468.62,90.0
547,Rogers Park,23714,7216.0,235.0
548,Rogers Park,23714,1682.5,235.0
549,Rogers Park,23714,1628.83,235.0
550,Rogers Park,23714,4494.22,120.0
551,Rogers Park,23714,3820.0,63.0
552,Rogers Park,23714,5093.0,63.0
553,Rogers Park,23714,241.0,201.0
554,Rogers Park,23714,3715.5,55.0
555,Rogers Park,23714,1774.33,0.0
556,Rogers Park,23714,1301.75,94.0
557,Rogers Park,23714,5764.5,56.0
558,Rogers Park,23714,2017.87,56.0
559,Rogers Park,23714,2751.87,162.0
560,Rogers Park,23714,2592.0,90.0
561,Rogers Park,23714,4393.0,132.0
562,Rogers Park,23714,3179.57,132.0
563,Rogers Park,23714,2132.67,132.0
564,Rogers Park,23714,2558.64,113.0
565,Rogers Park,23714,1891.63,113.0
566,Rogers Park,23714,2814.0,104.0
567,Rogers Park,23714,1969.1,104.0
568,Rogers Park,23714,989.0,90.0
569,Rogers Park,23714,3858.71,108.0
570,Rogers Park,23714,4043.0,68.0
571,Rogers Park,23714,1320.0,68.0
572,Rogers Park,23714,3146.5,51.0
573,Rogers Park,23714,4689.75,51.0
574,Rogers Park,23714,2182.0,51.0
575,Rogers Park,23714,1926.5,301.0
576,Rogers Park,23714,3307.0,140.0
